file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/EagerlyInitializedSingleton.java,com.ubs.example.singleton.EagerlyInitializedSingleton,performOperation/1[java.lang.String],argument,0
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/LazyInitializedSingleton.java,com.ubs.example.singleton.LazyInitializedSingleton,performOperation/1[java.lang.String],argument,0
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/StaticBlockInitializedSingleton.java,com.ubs.example.singleton.StaticBlockInitializedSingleton,(initializer 1),e,1
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/StaticBlockInitializedSingleton.java,com.ubs.example.singleton.StaticBlockInitializedSingleton,performOperation/1[java.lang.String],argument,0
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/InitializedOnDemandSingleton.java,com.ubs.example.singleton.InitializedOnDemandSingleton,performOperation/1[java.lang.String],argument,0
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/SynchronizedSingleton.java,com.ubs.example.singleton.SynchronizedSingleton,performOperation/1[java.lang.String],argument,0
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/SingletonWithArgument.java,com.ubs.example.singleton.SingletonWithArgument$Approach2,performOperation/1[java.lang.String],argument,1
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/SingletonWithArgument.java,com.ubs.example.singleton.SingletonWithArgument$Approach1,init/1[java.lang.String],argument,2
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/DoubleCheckedLockingSingleton.java,com.ubs.example.singleton.DoubleCheckedLockingSingleton,performOperation/1[java.lang.String],argument,0
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/EnumSingleton.java,com.ubs.example.singleton.EnumSingleton,performOperation/1[java.lang.String],argument,0
/root/DesignPatternsDetection/Data/Singleton/topr_singleton-examples/ckmetrics/../src/main/java/com/ubs/example/singleton/PublicFieldSingleton.java,com.ubs.example.singleton.PublicFieldSingleton,performOperation/1[java.lang.String],argument,0
