file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/test/java/com/example/singletonpractice/ExampleUnitTest.java,com.example.singletonpractice.ExampleUnitTest,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,23,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/androidTest/java/com/example/singletonpractice/ExampleInstrumentedTest.java,com.example.singletonpractice.ExampleInstrumentedTest,class,4,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/StaticInnerSingleton/Singleton.java,com.example.singletonpractice.StaticInnerSingleton.Singleton,class,1,2,1,0,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/StaticInnerSingleton/Singleton.java,com.example.singletonpractice.StaticInnerSingleton.Singleton$SingletonHolder,innerclass,1,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,10,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/DoubleCheckLock/Singleton.java,com.example.singletonpractice.DoubleCheckLock.Singleton,class,1,5,1,1,3,NaN,NaN,3,1,1,2,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,19,1,0,2,0,0,2,0,3,0,2,3,0,0,0,15,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/lanhan/Singleton.java,com.example.singletonpractice.lanhan.Singleton,class,1,3,1,0,1,NaN,NaN,2,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,11,1,0,1,0,0,0,0,1,0,1,1,0,0,0,9,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ContainerSingleton/SingletonManager.java,com.example.singletonpractice.ContainerSingleton.SingletonManager,class,0,4,1,3,1,1.0,1.0,3,2,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,1,1,0,0,0,14,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,class,6,1,2,5,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,8,0,8,0,0,0,0,25,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/CEO.java,com.example.singletonpractice.ehan.CEO,class,2,3,2,0,3,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/VP.java,com.example.singletonpractice.ehan.VP,class,1,1,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/Staff.java,com.example.singletonpractice.ehan.Staff,class,0,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/Company.java,com.example.singletonpractice.ehan.Company,class,1,3,1,3,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,12,0,1,0,0,0,2,0,2,1,2,1,0,0,0,15,1,0
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/Enumeration/SingletonEnum.java,com.example.singletonpractice.Enumeration.SingletonEnum,enum,0,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,1,0
