file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/androidTest/java/com/example/singletonpractice/ExampleInstrumentedTest.java,com.example.singletonpractice.ExampleInstrumentedTest,useAppContext/0,appContext,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ContainerSingleton/SingletonManager.java,com.example.singletonpractice.ContainerSingleton.SingletonManager,"registerService/2[java.lang.String,java.lang.Object]",instance,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ContainerSingleton/SingletonManager.java,com.example.singletonpractice.ContainerSingleton.SingletonManager,"registerService/2[java.lang.String,java.lang.Object]",key,2
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ContainerSingleton/SingletonManager.java,com.example.singletonpractice.ContainerSingleton.SingletonManager,getService/1[java.lang.String],key,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],savedInstanceState,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],vp1,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],vp2,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],ceo1,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],ceo2,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],staff1,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],cp,8
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],staff3,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/MainActivity.java,com.example.singletonpractice.ehan.MainActivity,onCreate/1[com.example.singletonpractice.ehan.Bundle],staff2,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/Company.java,com.example.singletonpractice.ehan.Company,showAllStaffs/0,per,1
/root/DesignPatternsDetection/Data/Singleton/xiaolanlaia_SingletonPattern/ckmetrics/../app/src/main/java/com/example/singletonpractice/ehan/Company.java,com.example.singletonpractice.ehan.Company,addStaff/1[com.example.singletonpractice.ehan.Staff],per,1
