file,class,method,variable,usage
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/Main.java,com.brunomnsilva.Main$CLI,CLI/1[com.brunomnsilva.model.player.MusicPlayer],player,3
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/Main.java,com.brunomnsilva.Main$CLI,run/0,player,8
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,isEmpty/0,playlist,1
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,size/0,playlist,1
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,readFromFolder/1[java.lang.String],playlist,1
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,readFromFolder/1[java.lang.String],currentIndex,1
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,getNext/0,playlist,1
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,getNext/0,currentIndex,3
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,getPrevious/0,playlist,1
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,getPrevious/0,currentIndex,3
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,getCurrent/0,playlist,1
/root/DesignPatternsDetection/Data/State/brunomnsilva_JavaPatterns_State/ckmetrics/../src/com/brunomnsilva/model/Playlist.java,com.brunomnsilva.model.Playlist,getCurrent/0,currentIndex,1
