file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/OverdraftFeeStrategy.java,bankstrategy.OverdraftFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",amount,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/OverdraftFeeStrategy.java,bankstrategy.OverdraftFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",balance,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/OverdraftFeeStrategy.java,bankstrategy.OverdraftFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",today,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/BankStrategy.java,bankstrategy.BankStrategy,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/BankStrategy.java,bankstrategy.BankStrategy,main/1[java.lang.String[]],a,22
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/FrequentWithdrawalFeeStrategy.java,bankstrategy.FrequentWithdrawalFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",ild,3
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/FrequentWithdrawalFeeStrategy.java,bankstrategy.FrequentWithdrawalFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",amount,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/FrequentWithdrawalFeeStrategy.java,bankstrategy.FrequentWithdrawalFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",balance,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/FrequentWithdrawalFeeStrategy.java,bankstrategy.FrequentWithdrawalFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",today,2
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/FrequentWithdrawalFeeStrategy.java,bankstrategy.FrequentWithdrawalFeeStrategy,"calculateFee/3[int,int,java.time.LocalDate]",testThisDate,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/GrantWithdrawalStrategy.java,bankstrategy.GrantWithdrawalStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",amount,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/GrantWithdrawalStrategy.java,bankstrategy.GrantWithdrawalStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",balance,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/GrantWithdrawalStrategy.java,bankstrategy.GrantWithdrawalStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",today,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/OneWithdrawalPerMonthStrategy.java,bankstrategy.OneWithdrawalPerMonthStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",amount,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/OneWithdrawalPerMonthStrategy.java,bankstrategy.OneWithdrawalPerMonthStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",balance,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/OneWithdrawalPerMonthStrategy.java,bankstrategy.OneWithdrawalPerMonthStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",today,2
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/ApplyFeesStrategy.java,bankstrategy.ApplyFeesStrategy,"calculateFee/3[int,int,java.time.LocalDate]",amount,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/ApplyFeesStrategy.java,bankstrategy.ApplyFeesStrategy,"calculateFee/3[int,int,java.time.LocalDate]",balance,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/ApplyFeesStrategy.java,bankstrategy.ApplyFeesStrategy,"calculateFee/3[int,int,java.time.LocalDate]",today,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"transaction/3[java.lang.String,int,java.time.LocalDate]",result,2
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"transaction/3[java.lang.String,int,java.time.LocalDate]",amount,2
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"transaction/3[java.lang.String,int,java.time.LocalDate]",today,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"transaction/3[java.lang.String,int,java.time.LocalDate]",description,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"Account/2[bankstrategy.ApplyFeesStrategy,bankstrategy.GrantWithdrawalStrategy]",grantWithdrawalStrategy,3
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"Account/2[bankstrategy.ApplyFeesStrategy,bankstrategy.GrantWithdrawalStrategy]",applyFeesStrategy,3
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"deposit/2[int,java.time.LocalDate]",date,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"deposit/2[int,java.time.LocalDate]",amount,2
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,setApplyFeesStrategy/1[bankstrategy.ApplyFeesStrategy],applyFeesStrategy,3
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,setGrantWithdrawalStrategy/1[bankstrategy.GrantWithdrawalStrategy],grantWithdrawalStrategy,3
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"withdrawal/2[int,java.time.LocalDate]",date,4
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"withdrawal/2[int,java.time.LocalDate]",amount,5
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/Account.java,bankstrategy.Account,"withdrawal/2[int,java.time.LocalDate]",fee,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/ThresholdWithdrawalStrategy.java,bankstrategy.ThresholdWithdrawalStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",amount,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/ThresholdWithdrawalStrategy.java,bankstrategy.ThresholdWithdrawalStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",balance,1
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/ThresholdWithdrawalStrategy.java,bankstrategy.ThresholdWithdrawalStrategy,"grantWithdrawal/3[int,int,java.time.LocalDate]",today,0
/root/DesignPatternsDetection/Data/Strategy/SimonHGR_BankStrategy/ckmetrics/../src/bankstrategy/ThresholdWithdrawalStrategy.java,bankstrategy.ThresholdWithdrawalStrategy,ThresholdWithdrawalStrategy/1[int],minBalance,2
