file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],x,3
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],i,3
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralLn.java,DefIntegralLn,"DefIntegralLn/3[double,double,int]",a,2
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralLn.java,DefIntegralLn,"DefIntegralLn/3[double,double,int]",b,2
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralLn.java,DefIntegralLn,"DefIntegralLn/3[double,double,int]",c,2
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralLn.java,DefIntegralLn,function/1[double],x,1
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/ADefiniteIntegral.java,ADefiniteIntegral,CalDefiniteIntegral/0,a,6
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/ADefiniteIntegral.java,ADefiniteIntegral,CalDefiniteIntegral/0,b,5
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/ADefiniteIntegral.java,ADefiniteIntegral,CalDefiniteIntegral/0,c,3
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/ADefiniteIntegral.java,ADefiniteIntegral,CalDefiniteIntegral/0,t,5
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/ADefiniteIntegral.java,ADefiniteIntegral,CalDefiniteIntegral/0,i,3
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/ADefiniteIntegral.java,ADefiniteIntegral,CalDefiniteIntegral/0,sum,3
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/ADefiniteIntegral.java,ADefiniteIntegral,function/1[double],x,0
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralXX.java,DefIntegralXX,"DefIntegralXX/3[double,double,int]",a,2
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralXX.java,DefIntegralXX,"DefIntegralXX/3[double,double,int]",b,2
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralXX.java,DefIntegralXX,"DefIntegralXX/3[double,double,int]",c,2
/root/DesignPatternsDetection/Data/Template/kongzhimin_TemplateMethodPattern/ckmetrics/../src/DefIntegralXX.java,DefIntegralXX,function/1[double],x,1
