file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/EquipWeapon.java,com.mibu.visitor.EquipWeapon,setWeapon/1[com.mibu.visitor.Orc],orc,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/EquipWeapon.java,com.mibu.visitor.EquipWeapon,setWeapon/1[com.mibu.visitor.Wizard],wizard,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/EquipWeapon.java,com.mibu.visitor.EquipWeapon,setWeapon/1[java.util.List<com.mibu.visitor.Weaponizable>],p,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/EquipWeapon.java,com.mibu.visitor.EquipWeapon,setWeapon/1[java.util.List<com.mibu.visitor.Weaponizable>],characters,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/EquipWeapon.java,com.mibu.visitor.EquipWeapon,setWeapon/1[com.mibu.visitor.Warrior],warrior,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],characters,6
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],weaponSelector,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],orc1,2
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],g1,2
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],w1,2
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],g2,2
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Main.java,com.mibu.visitor.Main,main/1[java.lang.String[]],w2,2
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Warrior.java,com.mibu.visitor.Warrior,weaponize/1[com.mibu.visitor.WeaponSelector],weaponSelector,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Weaponizable.java,com.mibu.visitor.Weaponizable,weaponize/1[com.mibu.visitor.WeaponSelector],character,0
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/WeaponSelector.java,com.mibu.visitor.WeaponSelector,setWeapon/1[com.mibu.visitor.Wizard],wizard,0
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/WeaponSelector.java,com.mibu.visitor.WeaponSelector,setWeapon/1[com.mibu.visitor.Warrior],warrior,0
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/WeaponSelector.java,com.mibu.visitor.WeaponSelector,setWeapon/1[com.mibu.visitor.Orc],orc,0
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/WeaponSelector.java,com.mibu.visitor.WeaponSelector,setWeapon/1[java.util.List<com.mibu.visitor.Weaponizable>],characters,0
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Character.java,com.mibu.visitor.Character,setWeapon/1[java.lang.String],weapon,2
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Orc.java,com.mibu.visitor.Orc,weaponize/1[com.mibu.visitor.WeaponSelector],character,1
/root/DesignPatternsDetection/Data/Visitor/Trebor006_visitor/ckmetrics/../src/main/java/com/mibu/visitor/Wizard.java,com.mibu.visitor.Wizard,weaponize/1[com.mibu.visitor.WeaponSelector],weaponSelector,1
