file,class,method,variable,usage
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,n1,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,classNode,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,c,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,e,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,cName,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,obj,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,builder,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,doc,2
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/XMLUtil.java,XMLUtil,getBean/0,dFactory,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Customer.java,Customer,visit/1[Apple],apple,0
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Customer.java,Customer,visit/1[Book],book,0
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],args,0
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],b2,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],a1,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],basket,4
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],visitor,3
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Client.java,Client,main/1[java.lang.String[]],b1,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Book.java,Book,accept/1[AVisitor],visitor,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Apple.java,Apple,accept/1[AVisitor],visitor,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/BuyBasket.java,BuyBasket,accept/1[AVisitor],i,2
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/BuyBasket.java,BuyBasket,accept/1[AVisitor],visitor,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/BuyBasket.java,BuyBasket,addProduct/1[IProduct],product,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/BuyBasket.java,BuyBasket,removeProduct/1[IProduct],product,1
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Saler.java,Saler,visit/1[Apple],apple,0
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/Saler.java,Saler,visit/1[Book],book,0
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/AVisitor.java,AVisitor,visit/1[Apple],apple,0
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/AVisitor.java,AVisitor,visit/1[Book],book,0
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/AVisitor.java,AVisitor,setName/1[java.lang.String],name,2
/root/DesignPatternsDetection/Data/Visitor/kongzhimin_VisitorPattern/ckmetrics/../src/IProduct.java,IProduct,accept/1[AVisitor],visitor,0
